id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_24h_in_currency,date,change_symbol
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,3.64,8791606709,24,18689765655,287742419.0,3.73,3.47,3.70823,3.70823,303858676.0,3.57997,2416394353.925341,5136927264.720619,,8.25,-55.86937,2024-06-15T00:36:51.509Z,0.519364,601.31353,2021-09-21T00:33:11.092Z,,2025-08-03T19:09:08.760Z,3.7082346281143748,03-08-2025,UP
litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,108.92,8297947527,25,8297982944,1345685803.0,110.09,104.64,3.61692,3.61692,294472774.0,3.67931,76145489.48347135,76145814.48347135,84000000.0,410.26,-73.43156,2021-05-10T03:13:07.904Z,1.15,9387.77918,2015-01-14T00:00:00.000Z,,2025-08-03T19:09:20.310Z,3.6169182111763085,03-08-2025,UP
leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,8.95,8265039855,26,8821963557,1808442.0,8.98,8.95,-0.0726,-0.0726,-4351318.849571228,-0.05262,923042099.9,985239504.0,,10.14,-11.6712,2025-03-10T09:26:43.294Z,0.799859,1019.22463,2019-12-24T15:14:35.376Z,,2025-08-03T19:09:19.810Z,-0.07259575510097488,03-08-2025,DOWN
weth,weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,3493.81,7930850114,27,7930850114,50767934.0,3506.16,3374.15,3.09618,3.09618,257536866.0,3.35627,2269964.652711023,2269964.652711023,,4799.89,-27.16633,2021-11-09T00:00:00.000Z,82.1,4157.96951,2018-12-15T00:00:00.000Z,,2025-08-03T19:09:09.599Z,3.0961840589671126,03-08-2025,UP
usds,usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,0.99975,7647064868,28,7647064868,6064024.0,0.999957,0.999495,-0.00927,-0.00927,-11215265.569930077,-0.14645,7648564252.293318,7648564252.293318,,1.057,-5.4452,2024-10-29T05:40:51.197Z,0.948265,5.42926,2024-10-03T13:19:28.826Z,,2025-08-03T19:09:08.729Z,-0.009274809494946376,03-08-2025,DOWN
shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,1.22e-05,7188733485,29,7191841759,124414044.0,1.223e-05,1.168e-05,4.38869,4.38869,304985872.0,4.43052,589246214385707.5,589500993373222.8,,8.616e-05,-85.83359,2021-10-28T03:54:55.568Z,5.6366e-11,21653958.31167,2020-11-28T11:26:25.838Z,,2025-08-03T19:09:10.337Z,4.3886934199341905,03-08-2025,UP
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),https://coin-images.coingecko.com/coins/images/35021/large/USDT.png?1707233575,0.999479,6781172654,30,6781172654,2185591230.0,1.003,0.997276,0.07735,0.07735,4921088.0,0.07262,6784993599.453935,6784993599.453935,,1.05,-4.80752,2024-08-05T14:21:42.527Z,0.942186,6.0814,2024-12-05T22:30:39.827Z,,2025-08-03T19:09:11.812Z,0.07734911409021758,03-08-2025,UP
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,https://coin-images.coingecko.com/coins/images/40143/large/cbbtc.webp?1726136727,114381.0,6167686683,31,6167686683,271006569.0,114392.0,111930.0,2.18977,2.18977,115366907.0,1.90616,53904.05864095,53904.05864095,,123036.0,-7.02578,2025-07-14T07:45:54.294Z,57439.0,99.15408,2024-09-12T14:07:41.775Z,,2025-08-03T19:09:12.606Z,2.1897729568404363,03-08-2025,UP
whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,42.62,6142515826,32,13772803240,32178999.0,42.64,41.75,1.85807,1.85807,123944989.0,2.05938,144118517.10815412,323143812.0,400000000.0,52.27,-18.45696,2025-06-16T09:30:18.527Z,3.06,1292.08106,2023-02-13T19:01:21.899Z,,2025-08-03T19:09:11.848Z,1.8580740999025802,03-08-2025,UP
monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,298.85,5518194750,33,5518194750,93630486.0,300.54,289.63,2.28577,2.28577,126999773.0,2.35569,18446744.07370955,18446744.07370955,,542.33,-44.74624,2018-01-09T00:00:00.000Z,0.216177,138515.90799,2015-01-14T00:00:00.000Z,,2025-08-03T19:09:05.749Z,2.2857718847126,03-08-2025,UP
uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,9.14,5489136210,34,9141200561,286343851.0,9.18,8.71,4.02807,4.02807,222221264.0,4.21919,600483073.71,1000000000.0,1000000000.0,44.92,-79.62488,2021-05-03T05:25:04.822Z,1.03,788.40679,2020-09-17T01:20:38.214Z,,2025-08-03T19:09:08.768Z,4.0280656519716755,03-08-2025,UP
polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,3.59,5475532757,35,5475532757,192550467.0,3.61,3.45,4.10789,4.10789,231081897.0,4.40622,1522267060.0,1522267060.0,,54.98,-93.45249,2021-11-04T14:10:09.301Z,2.7,33.45477,2020-08-20T05:48:11.359Z,,2025-08-03T19:09:17.560Z,4.1078861602345444,03-08-2025,UP
ethena-staked-usde,susde,Ethena Staked USDe,https://coin-images.coingecko.com/coins/images/33669/large/sUSDe-Symbol-Color.png?1716307680,1.19,5203432412,36,5203432412,257536221.0,1.19,1.18,0.20666,0.20666,183711237.0,3.65979,4382927048.295896,4382927048.295896,,1.29,-8.02386,2025-01-29T17:52:32.991Z,1.012,17.29455,2024-04-03T14:23:03.162Z,,2025-08-03T19:09:12.692Z,0.20666280899537312,03-08-2025,UP
bitget-token,bgb,Bitget Token,https://coin-images.coingecko.com/coins/images/11610/large/Bitget_logo.png?1736925727,4.34,4944812784,37,4944812784,65342382.0,4.34,4.23,2.57603,2.57603,119731003.0,2.48143,1139992035.9787908,1139992035.9787908,2000000000.0,8.45,-48.64537,2024-12-27T11:41:24.992Z,0.0142795,30290.64488,2020-06-25T04:17:05.895Z,,2025-08-03T19:09:11.344Z,2.576033387277761,03-08-2025,UP
pepe,pepe,Pepe,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,1.048e-05,4407848409,38,4407848409,429849168.0,1.052e-05,9.95e-06,5.23772,5.23772,220605796.0,5.26852,420690000000000.0,420690000000000.0,420690000000000.0,2.803e-05,-62.58645,2024-12-09T16:30:35.828Z,5.5142e-08,18916.84036,2023-04-18T02:14:41.591Z,,2025-08-03T19:09:06.610Z,5.23772120785493,03-08-2025,UP
crypto-com-chain,cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.133747,4331323877,39,13102851359,29504791.0,0.134277,0.122781,8.3451,8.3451,338653059.0,8.48187,32359908264.94672,97893180022.79594,100000000000.0,0.965407,-86.12099,2021-11-24T15:53:54.855Z,0.0121196,1005.55631,2019-02-08T00:00:00.000Z,,2025-08-03T19:09:12.267Z,8.34510288985129,03-08-2025,UP
aave,aave,Aave,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,258.76,3935175087,40,4141525236,277839720.0,259.34,247.36,4.60972,4.60972,181608970.0,4.8383,15202805.200288298,16000000.0,16000000.0,661.69,-60.85081,2021-05-18T21:19:59.514Z,26.02,895.44572,2020-11-05T09:20:11.928Z,,2025-08-03T19:09:10.564Z,4.609721085377527,03-08-2025,UP
ethena,ena,Ethena,https://coin-images.coingecko.com/coins/images/36530/large/ethena.png?1711701436,0.590277,3754616541,41,8862630635,1065504225.0,0.595123,0.514444,12.56596,12.56596,422968860.0,12.69549,6354687500.0,15000000000.0,,1.52,-61.07558,2024-04-11T13:15:15.057Z,0.195078,202.83107,2024-09-06T21:04:48.253Z,,2025-08-03T19:09:12.896Z,12.565958465672184,03-08-2025,UP
dai,dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,0.999716,3734847544,42,3734847544,78710729.0,1.0,0.999658,-0.02692,-0.02692,18804248.0,0.50603,3735879364.853765,3735879364.853765,,1.22,-17.96957,2020-03-13T03:02:50.373Z,0.88196,13.37181,2023-03-11T07:50:50.514Z,,2025-08-03T19:09:12.355Z,-0.02691908466835418,03-08-2025,DOWN
bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,350.32,3350487690,43,7358570917,95120805.0,351.01,329.36,6.36483,6.36483,202883758.0,6.44566,9561672.0,21000000.0,21000000.0,757.6,-53.70586,2024-03-07T18:45:36.466Z,30.83,1037.61616,2023-05-14T08:57:53.732Z,,2025-08-03T19:09:11.423Z,6.364829437795295,03-08-2025,UP
