number,rank,gainer_rank,loser_rank,name,symbol,current_price,price_change_24h,change_symbol,market_cap,volume_24h,ath,id,image,date,last_updated
90,90,,,First Digital USD,FDUSD,0.996442,-0.13679,DOWN,1282208354,5445668582.0,1.15,first-digital-usd,https://coin-images.coingecko.com/coins/images/31079/large/FDUSD_icon_black.png?1731097953,03-08-2025,2025-08-03T14:09:02.969Z
91,91,,,Liquid Staked ETH,LSETH,3767.34,-0.63433,DOWN,1271657099,824309.0,4332.67,liquid-staked-ethereum,https://coin-images.coingecko.com/coins/images/28848/large/LsETH-receipt-token-circle.png?1696527824,03-08-2025,2025-08-03T14:09:07.628Z
92,92,,,Curve DAO,CRV,0.916254,2.93811,UP,1265080670,194353961.0,15.37,curve-dao-token,https://coin-images.coingecko.com/coins/images/12124/large/Curve.png?1696511967,03-08-2025,2025-08-03T14:09:07.053Z
93,93,,,Mantle Staked Ether,METH,3742.55,-0.43033,DOWN,1265513120,1615484.0,4729.53,mantle-staked-ether,https://coin-images.coingecko.com/coins/images/33345/large/symbol_transparent_bg.png?1701697066,03-08-2025,2025-08-03T14:09:08.472Z
94,94,,,Injective,INJ,12.7,2.13212,UP,1239502843,102028471.0,52.62,injective-protocol,https://coin-images.coingecko.com/coins/images/12882/large/Other_200x200.png?1738782212,03-08-2025,2025-08-03T14:09:05.215Z
95,95,,,Stacks,STX,0.685784,1.29254,UP,1226816322,27134030.0,3.86,blockstack,https://coin-images.coingecko.com/coins/images/2069/large/Stacks_Logo_png.png?1709979332,03-08-2025,2025-08-03T14:09:01.891Z
96,96,,,Polygon Bridged USDT (Polygon),USDT,0.99948,0.00231,UP,1214590923,35180421.0,1.027,polygon-bridged-usdt-polygon,https://coin-images.coingecko.com/coins/images/35023/large/USDT.png?1707233644,03-08-2025,2025-08-03T14:09:05.797Z
97,97,,,Provenance Blockchain,HASH,0.0254843,0.57915,UP,1212658484,5143.09,0.058737,hash-2,https://coin-images.coingecko.com/coins/images/66154/large/Hastra_Icon.png?1748497203,03-08-2025,2025-08-03T14:09:03.790Z
98,98,,,Celestia,TIA,1.64,1.7361,UP,1202401056,82693406.0,20.85,celestia,https://coin-images.coingecko.com/coins/images/31967/large/tia.jpg?1696530772,03-08-2025,2025-08-03T14:09:01.733Z
99,99,,,Falcon USD,USDF,0.999473,0.00566,UP,1197101351,6738641.0,1.075,falcon-finance,https://coin-images.coingecko.com/coins/images/54558/large/ff_200_X_200.png?1740741076,03-08-2025,2025-08-03T14:09:03.004Z
100,100,,,Renzo Restaked ETH,EZETH,3674.68,-0.76306,DOWN,1147041432,1822032.0,4207.05,renzo-restaked-eth,https://coin-images.coingecko.com/coins/images/34753/large/Ezeth_logo_circle.png?1713496404,03-08-2025,2025-08-03T14:09:05.674Z
101,101,,,Solv Protocol BTC,SOLVBTC,113686.0,0.3522,UP,1141864974,2197065.0,122909.0,solv-btc,https://coin-images.coingecko.com/coins/images/36800/large/solvBTC.png?1719810684,03-08-2025,2025-08-03T14:09:06.311Z
102,102,,,Optimism,OP,0.650395,1.78575,UP,1139141777,144619962.0,4.84,optimism,https://coin-images.coingecko.com/coins/images/25244/large/Optimism.png?1696524385,03-08-2025,2025-08-03T14:09:05.417Z
