name,symbol,current_price,price_change_24h,change_symbol,market_cap,ath,id,image,date,last_updated,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,price_change_percentage_24h_in_currency
Monero,xmr,297.11,1.5429,UP,5478763518,542.33,monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,03-08-2025,2025-08-03T14:09:08.726Z,34,5478763518,91722015.0,300.54,289.63,1.5429,48299286.0,0.88941,18446744.07370955,18446744.07370955,,-45.31125,2018-01-09T00:00:00.000Z,0.216177,137098.46374,2015-01-14T00:00:00.000Z,,1.5429047146044206
Polkadot,dot,3.6,1.13824,UP,5473372155,54.98,polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,03-08-2025,2025-08-03T14:09:05.967Z,35,5473372155,217022544.0,3.61,3.44,1.13824,54577977.0,1.0072,1522267060.0,1522267060.0,,-93.46116,2021-11-04T14:10:09.301Z,2.7,33.27801,2020-08-20T05:48:11.359Z,,1.138242970919406
Ethena Staked USDe,susde,1.19,0.25443,UP,5169116340,1.29,ethena-staked-usde,https://coin-images.coingecko.com/coins/images/33669/large/sUSDe-Symbol-Color.png?1716307680,03-08-2025,2025-08-03T14:09:02.412Z,36,5169212137,224278167.0,1.19,1.18,0.25443,152976450.0,3.04968,4354801743.95426,4354882448.953835,,-8.04437,2025-01-29T17:52:32.991Z,1.012,17.26839,2024-04-03T14:23:03.162Z,,0.2544261578094636
Bitget Token,bgb,4.34,0.41798,UP,4945865370,8.45,bitget-token,https://coin-images.coingecko.com/coins/images/11610/large/Bitget_logo.png?1736925727,03-08-2025,2025-08-03T14:09:01.327Z,37,4945865370,77961430.0,4.34,4.23,0.41798,21672817.0,0.44013,1139992035.9787908,1139992035.9787908,2000000000.0,-48.64532,2024-12-27T11:41:24.992Z,0.0142795,30290.67484,2020-06-25T04:17:05.895Z,,0.41797791532154194
Pepe,pepe,1.048e-05,1.15131,UP,4407879780,2.803e-05,pepe,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,03-08-2025,2025-08-03T14:09:05.301Z,38,4407879780,555947427.0,1.052e-05,9.9e-06,1.15131,48090432.0,1.10304,420690000000000.0,420690000000000.0,420690000000000.0,-62.60224,2024-12-09T16:30:35.828Z,5.5142e-08,18908.8107,2023-04-18T02:14:41.591Z,,1.151311993222906
Cronos,cro,0.133092,0.33415,UP,4302971592,0.965407,crypto-com-chain,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,03-08-2025,2025-08-03T14:09:02.200Z,39,13017242220,31140025.0,0.133055,0.122781,0.33415,8789044.0,0.20467,32359350052.70315,97892697810.67137,100000000000.0,-86.22067,2021-11-24T15:53:54.855Z,0.0121196,997.61581,2019-02-08T00:00:00.000Z,,0.33414637541089875
Aave,aave,257.52,0.74088,UP,3914311533,661.69,aave,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,03-08-2025,2025-08-03T14:09:07.918Z,40,4119568061,340373121.0,259.34,245.9,0.74088,25854113.0,0.66489,15202803.692039274,16000000.0,16000000.0,-61.10266,2021-05-18T21:19:59.514Z,26.02,889.04203,2020-11-05T09:20:11.928Z,,0.7408773896342375
Dai,dai,1.0,0.02199,UP,3740929264,1.22,dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,03-08-2025,2025-08-03T14:09:02.254Z,41,3738804630,92902556.0,1.0,0.999658,0.02199,25107999.0,0.67571,3740922964.032325,3738798334.038012,,-17.97367,2020-03-13T03:02:50.373Z,0.88196,13.36616,2023-03-11T07:50:50.514Z,,0.021987574942212817
Ethena,ena,0.579469,6.85012,UP,3673982868,1.52,ethena,https://coin-images.coingecko.com/coins/images/36530/large/ethena.png?1711701436,03-08-2025,2025-08-03T14:09:02.913Z,42,8672297894,1055811522.0,0.579329,0.514444,6.85012,224662585.0,6.51324,6354687500.0,15000000000.0,,-61.89012,2024-04-11T13:15:15.057Z,0.195078,196.49393,2024-09-06T21:04:48.253Z,,6.850122483372205
Bittensor,tao,346.51,1.91685,UP,3313002703,757.6,bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,03-08-2025,2025-08-03T14:09:01.405Z,43,7276243817,112461211.0,349.05,328.52,1.91685,62696684.0,1.92895,9561672.0,21000000.0,21000000.0,-54.26282,2024-03-07T18:45:36.466Z,30.83,1023.92949,2023-05-14T08:57:53.732Z,,1.9168542880531891
